value,customs_districts_label,location_chinese_trader,trader_zone,customs_regime,country_of_destination,country_of_consumption,location_chinese_producer,producer_zone,transportation_modes,china_hs8,quantity_unit,quantity
180000,,Zhangjiakou,Others,Ordinary trade,Japan,Japan,Chongwon,Others,,90221400,Number of item/Set,1
840000,,Pingxiang,Others,Ordinary trade,Japan,Japan,Hangzhou,Others,,84431313,Number of item/Set,1
3166,,Jining,Others,Ordinary trade,Japan,Japan,Haidion,Others,,73181590,Kilogram,310
5927,,Zhoushan,Others,Ordinary trade,Japan,Japan,Yubei,Ecoomic & Technological Development Area,,72259200,Kilogram,1352
297049,,Foshan,Others,Ordinary trade,Japan,Japan,Nan’an,Others,,32091000,Kilogram,111800
561327,,Jiangmen,Others,Ordinary trade,Indonesia,Indonesia,Zhuhai,Special Economic Zone,,15200000,Kilogram,2569380
877732,,Zhenjiang,Others,Ordinary trade,India,India,Fuzhou,Others,,26140000,Kilogram,4032000
30899,,Ruian,Others,Ordinary trade,Italy,Italy,Ningbo,Bonded Area,,22042100,Liter,13500
19850,,Wujiang,Others,Process with imported materials,KoreaRep,KoreaRep,Hangzhou,Others,,60063200,Meter,3970
1174336,,Zhuchen,Others,Process & assembling,KoreaRep,KoreaRep,Qingdao,Others,,3074900,Kilogram,601073
15796,,Suzhou,Others,Process with imported materials,KoreaRep,KoreaRep,Huzhou,Others,,60041030,Meter,8253
24050,,Chaoyang,Others,Process with imported materials,Germany,Germany,Changshu,Others,,40169310,Kilogram,82
14908930,,Yangjiang,Others,Ordinary trade,Indonesia,Indonesia,Guangzhou,Others,,26040000,Kilogram,210800000
1435,,Fuzhou,Others,Ordinary trade,Germany,Germany,Hongkou,Others,,84242000,Number of item/Set,1
